ime,priimek,rojstvo
Renate,Asbery,1974-08-26
Mattie,Jailler,1957-10-28
Aguistin,Hirschmann,1973-12-29
Salmon,Clarkson,1983-11-22
Berta,Joris,1976-09-30
Amalie,Tick,1986-06-11
Chilton,Callander,1951-01-26
Zelig,Meader,1979-07-04
Clayborne,Overstone,1972-05-15
Benetta,Smurfitt,1964-05-02
Emmaline,Eve,1977-07-07
Windham,Lorkings,1978-04-21
Jaquenette,Gosker,1950-05-01
Tom,Eschalette,1977-03-29
Dell,Lawles,1956-08-11
Gifford,McBratney,1955-06-20
Sandy,Allinson,1953-04-26
Minny,Wildes,1975-07-19
Tiebout,Firmin,1962-03-21
Dottie,Brantl,1967-08-15
Eula,Bastiman,1960-06-16
Pam,Roderigo,1985-09-23
Melisenda,Grimm,1971-12-23
Bobine,Raoux,1957-04-28
Ramon,Somerton,1970-02-06
Tully,Airlie,1962-03-10
Chrotoem,Zecchinii,1962-09-26
Lalo,Ianitti,1983-08-28
Theo,Beard,1976-04-24
Paton,Cunniff,1954-01-28
Ilyse,Hearn,1970-10-29
Eleen,Saines,1951-05-27
Terrie,MacNeish,1966-08-18
Sander,Kiera,1962-04-28
Fonsie,Lembcke,1974-06-29
Feliks,Van Haeften,1985-06-10
Bennie,Mcmanaman,1952-08-18
Karoly,Nunns,1983-04-04
Katine,Vearncombe,1960-12-02
Lauretta,Morsey,1988-03-10
Isac,Peaker,1980-11-21
Joey,Dannatt,1958-08-14
Vikki,Domerc,1980-07-25
Berkley,Dressel,1972-05-19
Bobbee,Seedhouse,1951-05-16
Matty,Ulyet,1984-06-22
Shannon,Irce,1990-04-05
Benni,Blonfield,1985-10-11
Joel,Bauduin,1975-02-12
Jerry,Alven,1953-12-30
Demetrius,Preston,1952-12-26
Sydney,Halliday,1979-05-28
Culver,Simony,1988-10-25
Mersey,Durn,1969-07-29
Milicent,Jandac,1983-08-03
Ulick,Cranmore,1955-05-19
Ailee,Morritt,1969-05-02
Aimil,Vickery,1965-12-03
Archibald,Skaid,1968-10-28
Reade,Obell,1950-09-05
Bobbie,Worcester,1989-02-12
Aaren,Hattigan,1953-11-24
Rozalie,Poel,1983-10-17
Chelsie,Kidgell,1959-03-24
Thomasina,Ellesmere,1978-10-02
Francoise,Longhirst,1951-07-19
Danila,Tother,1984-07-20
Ania,Shildrake,1956-08-27
Belvia,Furse,1954-02-22
Tonya,Ranger,1952-12-26
Vinny,Gumey,1964-10-14
Mycah,Cail,1988-11-06
Dore,Bacher,1979-04-06
Cly,Yarmouth,1965-10-21
Mead,Gayler,1987-05-03
Dell,Balassa,1971-11-09
Byran,Becks,1988-02-21
Daphna,Bisterfeld,1982-09-26
Marsha,Reucastle,1963-10-09
Tilda,O'Mara,1956-01-14
Dasha,Mintoft,1964-11-09
Frazer,Silcox,1968-06-04
Gris,Drummer,1968-03-19
Drucy,Dorber,1980-04-21
Letisha,Aindrais,1958-05-08
Terrye,Deware,1957-02-15
Thaddus,Bertenshaw,1989-06-02
Janessa,Vaun,1981-11-10
Jennette,Clarke,1956-10-24
Bonni,Pocknoll,1988-08-05
Lynette,Pickervance,1982-10-20
Burt,Schober,1983-07-02
Christoper,Hasely,1990-03-09
Hedwig,O' Connell,1977-11-08
Lenore,Yarnley,1981-06-10
Benedicto,Dyment,1987-07-07
